,age,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,years_with_employer,hours_per_week,sex,demographic_characteristic,yearly_salary_estimate,capital_estimate,capital_evaluation,hours_band,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
2630,18,8,12,3,6,0,1,10,0,297396,22476.51,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1634,43,13,17,7,3,1,8,50,0,206139,54073.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
796,22,3,17,7,7,0,2,50,1,226508,15030.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
365,52,9,17,8,6,1,7,50,0,132178,30444.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
471,36,3,12,8,9,0,6,40,0,197202,18693.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1507,50,3,12,2,5,1,2,40,1,140592,19931.28,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2545,54,3,12,6,8,0,6,30,1,32778,20223.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2486,30,14,13,8,5,0,5,50,0,255885,58561.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2642,23,8,17,1,6,0,1,50,0,268525,19620.8,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2149,21,6,13,2,4,0,1,40,1,79728,20610.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
622,31,8,18,10,3,1,1,40,0,118710,26563.24,1,-1902,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
898,54,8,12,2,3,1,22,52,0,123011,20772.0,1,15024,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2485,61,7,4,6,9,0,8,40,0,43554,25534.52,1,-2339,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1363,48,6,12,8,7,0,5,40,0,176026,18022.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
495,30,5,9,5,1,1,2,40,0,152453,22365.97,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2559,25,5,17,4,6,0,3,30,0,210278,18778.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
289,36,11,17,8,7,1,0,40,1,205607,26568.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,60,12,12,10,4,0,5,40,1,207665,32630.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2373,27,7,17,8,9,0,2,40,1,147638,17300.57,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1213,33,12,12,9,6,0,4,41,0,105974,40090.97,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2356,52,8,18,3,8,1,10,40,0,71344,19545.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2314,41,12,17,2,3,1,2,50,0,168071,31366.08,1,7298,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1772,35,6,13,4,7,0,4,40,0,330664,24848.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2003,43,2,14,1,3,0,4,40,1,160815,18645.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
784,38,14,17,6,7,1,8,50,0,95336,53667.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1587,32,8,9,9,2,1,9,40,0,195576,20147.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1140,42,9,12,5,6,1,8,40,0,342865,22660.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2573,45,12,18,6,7,1,12,50,1,270842,37724.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1280,28,1,17,9,6,1,2,43,0,441620,16357.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1500,64,13,12,7,4,1,4,40,0,168340,48412.32,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2172,61,6,6,6,4,1,11,40,0,83045,21274.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
307,55,11,8,8,5,1,5,40,0,98545,28510.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
767,18,6,9,7,2,0,0,20,1,216284,24357.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
540,36,13,12,9,4,1,4,40,0,339772,36275.28,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1974,65,6,14,5,3,0,8,60,0,90377,16159.0,1,6767,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2331,31,6,12,8,5,0,4,40,0,209276,16281.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1039,50,19,17,4,6,1,6,40,1,133963,134311.08,1,-1977,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2696,40,6,17,8,7,1,0,40,0,184378,20282.88,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2339,27,4,4,2,4,1,1,40,0,258102,20034.8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
283,26,2,16,1,1,0,0,45,0,193945,17739.07,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1202,17,3,9,3,2,0,2,30,1,145886,20292.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2113,28,8,16,10,6,0,1,30,0,111900,22115.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1814,57,2,12,5,5,1,20,40,0,370890,15362.53,1,-2258,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
995,53,3,17,7,2,1,5,40,0,288020,16801.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
824,51,8,18,2,7,0,2,60,0,138022,21860.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
292,77,7,13,5,3,0,5,40,0,138714,24742.68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
809,38,8,13,3,8,1,3,44,0,278924,23852.04,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
311,49,12,18,3,9,0,1,60,0,71195,32103.64,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
905,48,3,5,3,2,0,4,40,0,107373,18226.06,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1870,34,4,17,9,3,1,6,40,0,157747,15570.48,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1159,22,6,12,2,3,0,3,40,0,58222,21631.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1375,26,11,12,8,5,0,1,30,1,197156,35325.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
619,20,13,13,6,7,0,2,20,0,316702,45876.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1584,28,4,8,4,4,0,4,45,0,215873,20249.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
851,33,7,17,1,7,0,5,40,0,123424,26112.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2367,32,13,13,6,1,1,8,50,1,115631,38234.78,1,4101,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
492,35,4,12,4,3,0,5,40,0,54576,17874.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2501,35,9,13,4,9,1,9,60,0,190895,29138.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1869,59,6,12,8,5,0,27,40,1,120617,23118.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1324,30,4,12,6,1,1,12,42,0,57651,14856.0,1,-2001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
329,42,4,12,9,5,1,1,35,1,111949,18219.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1419,26,4,17,4,1,0,6,40,0,46097,20445.24,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
304,41,5,13,9,9,0,6,45,0,206565,20098.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1640,51,11,17,2,3,1,18,40,0,221532,42110.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,29,10,13,3,8,0,6,50,0,115585,30513.0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
519,21,5,13,5,2,0,2,24,1,197747,22099.92,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1551,49,7,18,5,10,0,2,50,1,186078,21445.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1771,45,12,12,9,8,0,0,50,0,133969,43047.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1446,44,15,12,8,10,1,7,45,0,179557,62016.0,1,-1977,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
741,24,8,17,8,7,0,2,40,0,165474,23667.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1725,47,11,17,4,6,1,11,70,0,162034,28214.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1566,43,2,13,3,6,1,8,60,0,193459,15791.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2638,53,5,13,1,3,1,1,40,0,103931,22081.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
562,47,5,13,10,9,1,15,40,1,165039,16130.52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1568,32,8,17,3,7,1,0,40,0,496743,19545.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
736,32,11,12,9,5,0,5,60,0,110331,36345.48,1,-1672,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
675,54,4,12,7,1,0,6,40,0,285854,17009.11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2307,32,8,12,5,5,1,7,65,0,110331,22300.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2683,33,8,13,5,6,1,1,25,1,112584,19892.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1312,28,8,17,1,6,1,4,40,1,216481,22546.38,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1304,39,6,12,3,3,0,11,40,0,51100,18518.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1953,60,15,13,2,2,0,0,45,0,123992,56324.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1128,38,10,17,3,5,1,5,40,0,189623,23604.0,1,-1887,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
161,28,9,17,6,7,1,6,40,0,149624,33270.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
490,35,12,12,3,2,1,3,40,1,229328,45198.08,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2530,17,12,9,8,7,1,0,20,1,400225,40098.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1970,49,9,13,8,4,0,14,40,0,214169,21021.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2139,56,14,17,7,8,1,10,50,0,211804,63127.92,1,15024,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1308,49,12,18,5,5,0,1,75,1,101320,41745.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
667,29,2,9,7,3,1,4,40,0,267034,19027.45,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1786,28,1,16,4,8,0,8,3,1,169631,17881.08,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
677,37,5,12,8,2,1,2,40,0,103408,21009.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1286,56,6,12,1,8,1,20,60,0,145574,20422.0,1,-1902,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2071,56,3,5,4,4,0,9,20,0,128764,16354.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1873,25,11,12,8,6,1,3,36,0,304032,43333.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2251,70,1,13,8,7,0,3,6,1,262345,14670.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1818,36,3,21,8,4,1,3,40,0,103110,19673.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
695,43,9,17,2,6,0,2,50,0,226902,33010.5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1445,48,6,13,3,7,0,4,70,0,58683,23653.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
496,28,11,17,8,7,0,1,55,0,114053,30255.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
319,43,10,17,3,9,0,1,42,0,241895,31693.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
872,23,6,12,2,6,0,2,40,1,184699,25584.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1867,19,2,12,7,9,1,2,45,0,125010,19127.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1187,29,3,9,7,3,0,2,40,1,285290,17730.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1681,46,2,6,4,5,1,3,25,0,187226,19310.28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2703,24,2,12,1,8,0,3,32,1,85088,18826.32,1,-1762,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1521,44,3,12,2,5,0,9,45,0,202565,19278.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2215,24,4,17,4,5,0,1,40,1,311376,19445.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
134,22,8,13,6,6,0,2,24,0,175374,20726.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
448,25,6,17,6,3,0,2,40,1,181054,22781.04,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1233,25,2,17,8,3,1,5,45,0,163101,15321.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2611,28,2,17,4,8,0,2,40,1,298696,17408.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1942,47,13,12,5,10,0,4,8,1,331650,47634.58,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
739,39,1,12,4,9,0,7,24,1,680390,16708.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1981,39,10,13,5,4,1,20,35,1,179352,29922.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2094,51,4,13,5,8,1,1,65,0,191659,17374.0,1,-1887,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1098,31,6,9,2,7,0,0,42,1,106347,16377.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1429,22,1,13,5,9,1,2,20,1,178818,17714.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013,58,9,18,5,4,1,8,18,0,164065,31282.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,36,7,17,9,5,0,7,40,1,127306,23402.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
371,46,8,12,5,1,1,1,25,0,317253,21976.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1088,38,10,20,6,4,0,5,40,0,200818,29621.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1528,35,5,12,2,6,1,7,40,0,168817,15625.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1616,63,6,5,7,8,1,9,40,1,151210,23316.36,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2623,25,5,12,1,2,1,7,35,1,76978,17702.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1550,29,12,12,10,9,0,5,45,0,247445,41056.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
840,20,4,12,4,6,1,1,40,0,241752,20159.93,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1246,54,4,12,4,5,0,21,40,0,398212,14463.0,1,5013,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1005,30,4,13,9,9,0,3,40,1,347132,19320.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
66,29,9,17,2,2,1,1,70,0,162298,23908.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1325,25,12,12,5,3,0,1,25,1,174592,41549.84,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1631,22,3,12,1,7,1,1,40,0,267174,20178.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1099,23,6,13,4,4,1,3,30,1,174754,23336.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2663,22,8,6,9,7,0,2,30,0,201729,22810.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1874,31,8,12,10,4,0,3,40,1,207301,22138.44,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
920,27,8,13,9,4,0,3,40,0,389713,22221.03,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1991,57,6,12,4,3,0,1,35,1,39380,19390.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
237,45,7,14,1,1,0,15,45,1,187666,23700.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1018,40,6,17,4,2,0,0,37,0,214010,20838.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2610,52,1,12,3,9,1,16,35,1,91048,19932.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
904,38,11,18,7,4,0,2,25,0,173208,32164.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2476,55,10,17,1,2,1,26,18,0,144071,33247.68,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2613,21,7,13,3,3,1,3,5,1,230397,22317.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1009,42,8,13,8,3,1,2,40,0,184018,30923.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1738,57,10,18,7,5,0,10,80,0,195176,24611.88,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1090,38,10,18,9,8,1,0,72,0,22245,26109.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2699,49,3,13,1,8,1,2,40,1,36032,22674.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
590,43,9,12,6,9,0,6,40,0,174524,23274.48,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1493,46,5,20,7,3,0,8,60,0,99835,21277.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
379,52,6,3,9,8,0,1,40,0,190762,18965.92,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1756,77,4,12,2,4,1,24,6,0,144608,14356.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2351,42,9,9,5,9,1,15,40,0,296798,30130.0,1,-1340,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2504,47,5,18,1,3,0,16,38,0,188386,19050.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
